,patent_id,date,abstract,title,cpc_list
12,10154140,2018-12-11,A system and method for providing customer-specific ongoing call center assistance with the aid of a digital computer are provided. A call is received from a caller in a call center and the caller is connected to an agent of the call center. The speech of at least one of the caller and the agent is monitored during the call. A subject matter of the call is determined based on the monitoring. One or more characteristics of the caller are obtained. The agent is identified as being in need of assistance. Expert selection criteria are obtained and weighed based on one or more of the characteristics of the caller. An expert agent is selected using the weighed expert selection criteria and the subject matter of the call. The selected expert agent is patched into the call.,System and method for providing customer-specific ongoing call center assistance with the aid of a digital computer,"['H04M2201', 'H04M3', 'G10L25', 'G10L2015', 'G06Q10']"
13,10158754,2018-12-18,"A system for authenticating the identity of a caller (i) receiving one or more online credentials of a caller initiating a phone call, where the one or more online credentials include one or more pieces of biometric information associated with the caller, and the one or more online credentials are received from a mobile device associated with the caller; (ii) requesting one or more additional online credentials associated with the mobile device; (iii) receiving the one or more additional online credentials; (iv) receiving telephone authentication information associated with the phone call; (v) authenticating the caller based, at least in part upon, the one or more online credentials, the one or more additional credentials, and the telephone authentication information; (vi) generating authentication status information based on the authentication of the caller; and (vii) transferring the authentication status information and the phone call to a call recipient.",Systems and methods for authenticating a caller at a call center,"['H04M3', 'H04M2203', 'H04M7']"
14,10158758,2018-12-18,"A method, system, and a computer program product are provided for monitoring an emotional state of a conversation by monitoring a communication between first and second persons to determine an emotional state of the communication, providing a visual representation of the emotional state of the communication for display to a person having access to the communication, and performing an intervention action to improve the emotional state of the communication in response to detecting the emotional state of the communication meets one or more specified intervention criteria.",System and method for monitoring and visualizing emotions in call center dialogs at call centers,"['G10L15', 'G10L21', 'H04M2201', 'G06T11', 'H04M3', 'H04M2203', 'G10L25', 'G10L2015']"
15,10158759,2018-12-18,"A system and method for performing circumstance-specific customer satisfaction monitoring in an ongoing call center interaction are provided. At least one parameter of a message, the message including information regarding giving a signal by a customer of a call center indicating a dissatisfaction of the customer, is determined based on at least one of one or more characteristics of the customer and one or more conditions of the call center. The message is provided to the customer prior to an interaction between the customer and one of a plurality of agents of the call center. The interaction is began, including connecting the customer to one of the agents after the message is provided. Monitoring for a receipt of the signal from the customer during the interaction is performed. An action is taken after the receipt of the signal.",System and method for performing circumstance-specific customer satisfaction monitoring in an ongoing call center interaction,"['H04M3', 'H04M2203']"
16,10171656,2019-01-01,A device may capture call data corresponding to call between an agent of a call center and a caller. The device may identify a guidance template based on the call data. The guidance template may include one or more rules and/or information for assisting the agent during the call. The device may generate an agent prompt based on the guidance template and/or provide the guidance prompt to an agent device of the agent. The agent device may receive the guidance prompt and display the guidance prompt to the agent. The agent device may capture additional call data from the call and update the guidance prompt based on the call inputs.,Systems and methods for providing real-time assistance to call center agents,"['G10L15', 'H04M2201', 'H04M3', 'H04M2203', 'G10L25', 'G10L2015']"
17,10176480,2019-01-08,"A method, system and computer-readable storage medium provide for managing stranded assets of a customer service call center. The system includes an interface component that identifies an opportunity event of an established customer service session initiated by a user that is in a waiting queue for a customer service representative. The system includes an ingestion component that ingests one or more characteristics of the opportunity event that characterize at least one of: (i) the identity of the user; (ii) subject of the established customer service session; and (iii) situational context of the user. The system includes a correlation component that correlates the one or more ingested characteristics and an estimated duration of the waiting queue with at least one transaction-related content item. The system includes a publishing component that publishes a selected transaction-related content item via the established customer service session to the user while in the waiting queue.",Stranded asset management in customer service call centers,"['H04M3', 'H04M2203', 'G06Q30']"
18,10200535,2019-02-05,"An interactive display response (IDR) system and a non-transitory computer readable medium. The IDR system includes an interactive display server (IDS), wherein the IDS is configured to: establish a data session with an interactive display application (IDA) installed on a mobile device, wherein the data session is established when a call is placed, via the mobile device, with a call center that is subscribed to provide IDR services; obtain, from the call center, a link to a data to be displayed via the IDA; and send, to the mobile device, the link to the data to be displayed on the mobile device; wherein the IDA is configured to determine whether the call center is subscribed to provide IDR services, wherein the IDA is further configured to send the results of the determination to the IDS.",System for enabling call center interactive display responses,"['H04M3', 'H04M2203', 'H04W4', 'H04M7']"
19,10212281,2019-02-19,"A call center answers calls from callers reporting incidents and dispatch responders in response thereto. A computing system at the call center receives a particular call from a caller regarding a particular incident, and determines whether the particular call is an original call that is reporting the particular incident for a first time to the call center, or is a repetitive call that is reporting the particular incident after the original call for the particular incident has already been received by the call center. If an original call, the computing system forwards the particular call to an agent at the call center for further attention. However, if a repetitive call, the computing system diverts the particular call from the agent at the call center. Accordingly, the resources of the call center may be concentrated on original calls and away from repetitive calls.",System and method for handling repetitive calls at call center,"['H04M3', 'H04M2203', 'H04M2242']"
20,10218855,2019-02-26,"Techniques are described for enabling a service administrator to respond to a detected doorbell press at a property when an authorized user is unavailable to respond. In some implementations, a determination that a doorbell press has been detected at a property is made. Video data collected by a doorbell device of the property is obtained in response to determining that the doorbell press has been detected at the property. Sensor data collected by one or more sensors of a monitoring system located within the property is obtained in response to determining that the doorbell press has been detected at the property. A present security risk for the property is determined based at least on the obtained sensor data and the obtained video data. A communication session between the doorbell device and a server system associated with the monitoring system of the property is established in response to determining the present security risk for the property.",Doorbell call center,"['G08B13', 'G06K9', 'H04L67', 'H04N7', 'H04L29', 'H04M3', 'G08B21', 'H04M11']"
21,10225722,2019-03-05,"A wireless emergency system that includes a mobile switching center, a short message service center that receives an emergency text message of a caller from the mobile switching center, and gateway in communication with the short message service center to route the emergency text message to a responsive public safety answering point as a tone message.",System and method for delivering short message service text to call centers,"['H04M1', 'H04L51', 'H04L67', 'H04M7', 'H04M3', 'H04W4']"
22,10244103,2019-03-26,An apparatus monitoring calls of a system includes a processor and memory causing the apparatus to perform operations including capturing recordings of calls in real-time from recorded devices. The processor may further cause the apparatus to compare audio call data of the calls detected by a switch with audio content of recorded calls by recorder devices to determine whether the audio call data matches the audio content of recorded calls. The processor may further cause the apparatus to monitor conditions of recorder devices during calls to determine whether a component(s) of recorder devices or of communication devices exceeds a threshold. The processor may further cause the apparatus to monitor memory in which recorded calls are transferred for archiving to determine whether there is enough storage in the memory. The processor may further cause the apparatus to determine metrics impacting quality of recorded calls and perform analytics on the recorded calls.,"Methods, apparatuses, computer program products and systems for comprehensive and unified call center monitoring","['H04L65', 'H04M2201', 'H04M3', 'H04M2242', 'H04M2203']"
23,10244108,2019-03-26,"A call center system is configured to record call data into call records. A transfer center within the call center transfers the call records to a database. A query engine, controlled from an interactive user interface, executes queries on the call data records in the database, allowing real-time analysis of the call data.","System, method and computer readable medium for call center management",['H04M3']
24,10264123,2019-04-16,"A system for soliciting and activating one or more groups of workers to service contact center business includes an interface accessible to the one or more groups for accepting group registration data, publishing contact center business and for enabling the groups to subscribe to receive business; a data repository for storing the registration data for subscribing groups; and a routing server for specifying routing strategies for event routing to the groups. The system is characterized in that the one or more groups of workers may be activated during contact center business activity to perform services based on need.",System for facilitating loosely configured service worker groups in a dynamic call center environment,"['H04M3', 'G06Q10']"
25,10270909,2019-04-23,Methods and systems route requests for service in a call center. A non-transitory computer-readable medium stores data representative of a queue of customers waiting to be serviced. A processor queues a request for service initiated by a customer. Data output is sent to the customer to ascertain the customer's cause for the request via a data communication channel. Data input is received from the customer via the data communication channel. The data input indicates the customer's cause for the request. An agent is identified from a plurality of agents suitable to address the customer's cause for the request. The customer's position is adjusted in the queue based on the identified agent. A routing instruction is determined about routing the request to the identified agent.,System and method for improving call center communications,"['G06F16', 'H04L67', 'H04M7', 'H04M3', 'H04M2203']"
26,10277742,2019-04-30,"A method for providing inbound call reservations to a communication center has steps for monitoring service access points into the communication center by reservation software executing from a machine-readable medium, evaluating communicators and potential communicators, and issuing invitations for reserved communication sessions to qualified communicators and potential communicators, the reserved times coordinated according to data pertaining to predicted communication load and resource availability statistics.",System and methods for scheduling and optimizing inbound call flow to a call center,"['H04M3', 'H04M2203', 'G06Q10']"
27,10289389,2019-05-14,"A call center (CC) generator includes generator software (GSW) executing on a computerized appliance from a machine-readable physical medium, an input interface for receiving a CC configuration, access to a data repository storing CC software components, a function relating configuration parameters to individual ones of the stored CC software components, and an output interface for delivering a CC SW suite. The CC generator, executing the GSW, considers the CC configuration, applies the relating function, selects CC software components to copy from the data repository, and builds the CC SW suite for output.",Automated call center software build generator,"['G06F8', 'H04M3']"
28,10291779,2019-05-14,"An objective is to provide a call center system operable in accordance with various signaling specifications without causing an automatic call distributor to cope with the various signaling specifications. A call-originator terminal 101 includes a virtual call device 105 transmitting a different signal to a call center 100 from signaling. The call center 100 includes an automatic call distributor 118 selecting a terminal in a call-center-terminal group 102 upon receiving the signal from the virtual call device 105. In addition, the call-originator terminal 101 and the call center 100 include respective telecommunication-device control devices 107, 115, giving, to either one of the call-destination terminal 113 selected by the automatic call distributor 118 and the call-originator terminal 101, a telecommunication device ID of the other terminal, and causing the one terminal to start signaling for transmitting an actual call to the other terminal based on the telecommunication device ID.",Call center system and computer accessible medium storing a program for a call center,"['H04M3', 'H04M7']"
29,10320986,2019-06-11,"Techniques for handling contacts and agents in a contact center system are disclosed. In one particular embodiment, the techniques may be realized as a method for handling contacts and agents in a contact center system including associating an outcome of an interaction between a contact and an agent with an identification of a matching strategy used for matching the contact with the agent.",Selective mapping of callers in a call center routing system,"['H04M3', 'H04M2201']"
30,10325601,2019-06-18,Utterances of at least two speakers in a speech signal may be distinguished and the associated speaker identified by use of diarization together with automatic speech recognition of identifying words and phrases commonly in the speech signal. The diarization process clusters turns of the conversation while recognized special form phrases and entity names identify the speakers. A trained probabilistic model deduces which entity name(s) correspond to the clusters.,Speaker recognition in the call center,"['G10L15', 'H04M1', 'G10L17', 'G06N7', 'H04M2203']"
31,10326870,2019-06-18,"A headset system for use with especially in a call center environment, in which method a wireless connection is established between headset and base unit, and the wireless connection is maintained while indicating from a headset user interface to the base unit that the headset is available for receiving an incoming call. The headset system is connected to a telephone system and has a processor configured to receive mode information and to operate according to the received mode information. The headset has a headset user interface and controls the headset signal processor to operate in accordance with user input. The headset is further configured to provide the end-of-call information to the base unit while maintaining the wireless connection.",Headset system for use in a call center environment,['H04M1']
32,10326883,2019-06-18,"One or more embodiments related to a method that includes querying a data store for current interaction data between call center personnel and customers. The call center personnel are grouped into call center groups. The method further includes determining, for at least some call center groups, a current interaction metric specific to the call center group. The current interaction method is provided for each of the at least some call center groups.",Framework for supporting a call center,"['H04M3', 'H04M2201', 'H04M2203', 'G06Q10']"
33,10334099,2019-06-25,"Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for sending a forked media stream of an electronic communication between a customer and an agent to an analysis system for a duration. Receiving analysis results obtained from one or more analytics performed on the forked media stream. Then, determining whether to perform one or more operations in response to the analysis results.",Media forked application system in call centers,"['H04L65', 'H04M2201', 'H04L63', 'H04N21', 'H04M3', 'H04M2203', 'G06Q30']"
34,10348893,2019-07-09,"A redundant Session Initiation Protocol (SIP) call center system has two data centers each having a first and a second SIP server cooperating as a first SIP-server high availability (HA) pair, a set of SW applications executable at each data center, and a plurality of agent stations each comprising a SIP telephone and a computerized appliance executing a desktop application at each agent station. The HA pairs operate as SIP server peers, the agent SIP phones are configured to maintain simultaneous registration with both SIP server peers, and Agent Desktop applications log in to only one SIP server peer, wherein the SIP Server peers collaborate to deliver calls to individual agent SIP phones via the SIP server peer where the agent is logged in, and wherein, upon failure of either data center agent's desktop applications log in to the other data center, allowing the associated agent to continue working.",System to deploy a disaster-proof geographically-distributed call center,"['H04M3', 'H04M2203', 'H04L65']"
35,10403168,2019-09-03,"Systems and methods improve call center performance. A system can include a motor training component and a communication training component. A composite training component can determine a composite accuracy based on both motor training and communication training. A method can train motor skills, communication skills, and develop a composite training metric reflecting at least performance with respect to these aspects.",Systems and methods for improving call center performance,"['G09B19', 'G09B5']"
36,10404859,2019-09-03,"A computer-implemented method for providing an objective evaluation to a customer service representative regarding his performance during an interaction with a customer may include receiving a digitized data stream corresponding to a spoken conversation between a customer and a representative; converting the data stream to a text stream; generating a representative transcript that includes the words from the text stream that are spoken by the representative; comparing the representative transcript with a plurality of positive words and a plurality of negative words; and generating a score that varies according to the occurrence of each word spoken by the representative that matches one of the positive words, and/or the occurrence of each word spoken by the representative that matches one of the negative words. Tone of voice, as well as response time, during the interaction may also be monitored and analyzed to adjust the score, or generate a separate score.",Voice and speech recognition for call center feedback and quality assurance,"['G10L15', 'G10L17', 'H04M2201', 'H04M3', 'H04M2203', 'G10L25', 'G06F40']"
37,10419612,2019-09-17,"A method, system, and a computer program product are provided for monitoring an emotional state of a conversation by monitoring a communication between first and second persons to determine an emotional state of the communication, providing a visual representation of the emotional state of the communication for display to a person having access to the communication, and performing an intervention action to improve the emotional state of the communication in response to detecting the emotional state of the communication meets one or more specified intervention criteria.",System and method for monitoring and visualizing emotions in call center dialogs by call center supervisors,"['G10L15', 'G06T11', 'H04M3', 'G10L25', 'G06F40']"
38,10469663,2019-11-05,"A computer-implemented system and method for protecting sensitive information within a call center in real time is provided. A call from a caller is received within a call center. The call is assigned to an agent and a determination is made as to when the caller is to provide sensitive information. The user is transferred to an automated voice response system to which the sensitive information is provided, while maintaining the call with the agent. The caller is returned to the agent upon providing the sensitive information. A notification regarding a status of the sensitive information is sent and the call is terminated.",Computer-implemented system and method for protecting sensitive information within a call center in real time,"['H04M3', 'H04M2203']"
39,10477020,2019-11-12,"A method, system, and a computer program product are provided for monitoring an emotional state of a conversation by monitoring a communication between first and second persons to determine an emotional state of the communication, providing a visual representation of the emotional state of the communication for display to a person having access to the communication, and performing an intervention action to improve the emotional state of the communication in response to detecting the emotional state of the communication meets one or more specified intervention criteria.",System and method for monitoring and visualizing emotions in call center dialogs at call centers,"['G10L15', 'H04M2201', 'G10L21', 'G06T11', 'H04M3', 'H04M2203', 'G10L25', 'G10L2015']"
40,10498897,2019-12-03,"The method may include simulating a call and determining a propensity score associated with the call. The method may also include selecting a first destination, from a plurality of destinations, for the call based on a routing algorithm and the propensity score. The method may include routing the call to the first destination and updating a first call load associated with the first destination based on the call. The method may also include comparing the first call load to a plurality of other call loads. Each of the other call loads may be associated with at least one of the plurality of destinations. The method may also include updating the routing algorithm based on the comparing.",Systems and methods for simulating multiple call center balancing,"['H04M3', 'H04M2203', 'G10L25']"
41,10511719,2019-12-17,"Techniques are described for enabling a service administrator to respond to a detected doorbell press at a property when an authorized user is unavailable to respond. In some implementations, a determination that a doorbell press has been detected at a property is made. Video data collected by a doorbell device of the property is obtained in response to determining that the doorbell press has been detected at the property. Sensor data collected by one or more sensors of a monitoring system located within the property is obtained in response to determining that the doorbell press has been detected at the property. A present security risk for the property is determined based at least on the obtained sensor data and the obtained video data. A communication session between the doorbell device and a server system associated with the monitoring system of the property is established in response to determining the present security risk for the property.",Doorbell call center,"['G08B13', 'G06K9', 'H04L67', 'H04N7', 'H04L29', 'H04M3', 'G08B21', 'H04M11']"
42,10535072,2020-01-14,"A method, system and computer-readable storage medium provide for managing stranded assets of a customer service call center. The system includes an interface component that identifies an opportunity event of an established customer service session initiated by a user that is in a waiting queue for a customer service representative. The system includes an ingestion component that ingests one or more characteristics of the opportunity event that characterize at least one of: (i) the identity of the user; (ii) subject of the established customer service session; and (iii) situational context of the user. The system includes a correlation component that correlates the one or more ingested characteristics and an estimated duration of the waiting queue with at least one transaction-related content item. The system includes a publishing component that publishes a selected transaction-related content item via the established customer service session to the user while in the waiting queue.",Stranded asset management in customer service call centers,"['H04M3', 'H04M2203', 'G06Q30']"
43,10554822,2020-02-04,"The present invention is suitable for use in call centers and in other environments that include multiple service representatives, in which the voice of one representative may be picked up by the telephone of another representative in the surrounding vicinity. Disclosed herein are various methods of and systems for receiving multiple audio streams from multiple microphones, finding the correlations between the multiple audio streams, and using the correlations to attenuate the ambient noise from each audio stream. Accordingly, a caller in a conversation with a service representative hears the representative's voice with much of the ambient noise removed.",Noise removal in call centers,"['H04R3', 'G10L21', 'H04R27', 'H04N21', 'H04M9', 'G10L25']"
44,10582047,2020-03-03,"A call center system is configured to record call data into call records. A transfer center within the call center transfers the call records to a database. A query engine, controlled from an interactive user interface, executes queries on the call data records in the database, allowing real-time analysis of the call data.","System, method and computer readable medium for call center management",['H04M3']
45,10594860,2020-03-17,"A system for authenticating the identity of a caller (i) receiving one or more online credentials of a caller initiating a phone call, where the one or more online credentials include one or more pieces of biometric information associated with the caller, and the one or more online credentials are received from a mobile device associated with the caller; (ii) requesting one or more additional online credentials associated with the mobile device; (iii) receiving the one or more additional online credentials; (iv) receiving telephone authentication information associated with the phone call; (v) authenticating the caller based, at least in part upon, the one or more online credentials, the one or more additional credentials, and the telephone authentication information; (vi) generating authentication status information based on the authentication of the caller; and (vii) transferring the authentication status information and the phone call to a call recipient.",Systems and methods for authenticating a caller at a call center,"['H04M3', 'H04M2203', 'H04M7']"
46,10601993,2020-03-24,"Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for sending a forked media stream of an electronic communication between a customer and an agent to an analysis system for a duration. Receiving analysis results obtained from one or more analytics performed on the forked media stream. Then, determining whether to perform one or more operations in response to the analysis results.",Media forked application system in call centers,"['H04L65', 'H04M2201', 'H04L63', 'H04N21', 'H04M3', 'H04M2203', 'G06Q30']"
47,10629092,2020-04-21,"Systems and methods improve call center performance. A system can include a motor training component and a communication training component. A composite training component can determine a composite accuracy based on both motor training and communication training. A method can train motor skills, communication skills, and develop a composite training metric reflecting at least performance with respect to these aspects.",Systems and methods for improving call center performance,"['G09B19', 'G09B5']"
48,10630842,2020-04-21,A method for routing customer service requests to call centers includes collecting data associated with customer service experience between a customer and a call center regarding a completed customer call. The collected data is analyzed to determine a quality of customer service for one or more completed calls between the customer and the call center. A nature of an incoming customer call is determined. The incoming customer call is routed to a call center based upon making reference to the analyzed collected data such that the nature of the customer call matches with corresponding one or more favorable attributes of the call center.,Database allocation and analytics for service call centers,"['H04M3', 'H04M2203', 'G06Q10']"
49,10637989,2020-04-28,"A method for conducting a communication session between a personal electronic device and a system operated by a call center agent, including establishing a communication session between the system and the personal electronic device, exchanging information between the system and the personal electronic device according to a workflow stored in the system, sending visual content from the server to the personal electronic device, the visual content is associated with a step in the workflow, receiving a feedback confirmation from the personal electronic device, the feedback confirmation defines a feedback detected at the personal electronic device regarding the visual content and advancing to a subsequent step in the workflow based on the feedback confirmation.",System and method for improving efficiency of communication sessions at a call center,"['H04M3', 'H04M2203']"
50,10637991,2020-04-28,"Intelligent routing systems and methods of use to match a user from a user call with a unique ID associated with the user, generate a plurality of call reason predictions for the user call with an intelligent router module of the intelligent routing system based on the unique ID, generate a confidence level and a likelihood rating with the intelligent router module for each call reason prediction of the plurality of call reason predictions, determine a call reason prediction with a highest likelihood rating and such that the confidence level for the call reason prediction exceeds an associated confidence level threshold that is machine learned and adjustable, determine a call routing service mode from a plurality of service modes based on the call reason prediction, and route the user call to the call routing service mode.",Systems and methods for intelligent routing call center solutions,['H04M3']
51,10659608,2020-05-19,"A method for communicating with a call center, is performed at a device having one or more processors and memory. The device establishes, by an audio and video client, a network session connection to the call center by using an audio and video server. The device receives, through the network session connection, a first-level voice menu sent by the call center. The device obtains a correspondence between visualized menus and voice menus of the call center. The device searches for a first visualized menu corresponding to the first-level voice menu according to the correspondence. The device presents the first visualized menu in a user interface of the audio and video client.","Method, device and system for communicating with call center","['H04L29', 'H04M3', 'H04M2203', 'H04L65']"
52,10666793,2020-05-26,"This disclosure describes techniques for authenticating a person that seeks to engage in a voice call session with a call center agent, an interactive voice response system, or other system. In one example, this disclosure describes a method that includes storing information associating an authorized device with an account; receiving, over a network and from a device operated by a user, authentication credentials for the user; determining, based on the authentication credentials, that the user is authorized to access the account; receiving, over the network and from the device operated by the user, a request to engage in a voice conversation; responsive to receiving the request, accessing the phone number associated with the authorized device; and initiating a voice call session by placing a call, over the network, to the phone number associated with the authorized device.",Secure call center communications,"['H04W8', 'H04W12', 'G06Q20', 'H04M3', 'H04M2203', 'H04W4']"
53,10666802,2020-05-26,"Technologies for scaling call center support staff include one or more local agent computing devices of a call center that includes an interaction management computing device communicatively coupled to one or more customer computing devices and one or more remote agent computing devices. The interaction management computing device is configured to receive inbound service calls and insert them into a respective service queue. The interaction management computing device is additionally configured to determine whether a service queue response threshold associated with the service queue has been violated as a function of each service call having been inserted into the service queue, identify, in response to a determination that the service queue response threshold associated with the service queue has been violated, one or more remote agents from a queue of available remote agents, and add the identified one or more remote agents to an agent pool associated with the service queue. Additional embodiments are described herein.",Technologies for scaling call center support staff,"['H04M3', 'H04M2203']"
